snapsw	snap roll
SYSTEM/rssi_org	rssi low
SYSTEM/rssi_red	rssi critical
SYSTEM/rx_org	receiver battery low
SYSTEM/rx_red	receiver battery critical
SYSTEM/swalert	switch warning
SYSTEM/swr_red	radio antenna defective
SYSTEM/tada	welcome to taranis
SYSTEM/tada_opentx	welcome to opentx
SYSTEM/telemko	telemetry lost
SYSTEM/telemok	telemetry recovered
SYSTEM/thralert	throttle warning
SYSTEM/timer10	10 seconds
SYSTEM/timer20	20 seconds
SYSTEM/timer30	30 seconds
SYSTEM/timerlt3	time up
